Sr no	Locus name	Minimum	Maximum	Product	Chromosome	Physical Map Position	Component SSRs	Overlaps	Duplicates
1507	SB1294	61480144	61480412	268	2	61.4801			
1508	Xisep0926	61538987	61539178	191	2	61.5390			
1509	Xtxp056	61568608	61568955	347	2	61.5686			
1510	SB1295	61573371	61573614	243	2	61.5734			
1511	SB1296	61613672	61613949	277	2	61.6137			
1512	SB1297	61718015	61718257	242	2	61.7180			
1513	SB1298	61754169	61754385	216	2	61.7542			
1514	SB1299	61783186	61783427	241	2	61.7832			
1515	SB1301	61848152	61848403	251	2	61.8482			
1516	SB1302	61952742	61952986	244	2	61.9527			
1517	SB1303	61987632	61987893	261	2	61.9876			
1518	SB1304	62027555	62027796	241	2	62.0276			
1519	SB1306	62108765	62109057	292	2	62.1088			
1520	SB1307	62148235	62148336	101	2	62.1482			
1521	SB1308	62168445	62168744	299	2	62.1684			
1522	SB1309	62258666	62258928	262	2	62.2587			
1523	SB1310	62288007	62288166	159	2	62.2880			
1524	SB1311	62291506	62291744	238	2	62.2915			
1525	SB1312	62360970	62361216	246	2	62.3610			
1526	Xisep0913	62402493	62402701	208	2	62.4025			
1527	SB1313	62485088	62485376	288	2	62.4851			
1528	SB1314	62533967	62534150	183	2	62.5340			
1529	SB1315	62585628	62585908	280	2	62.5856			
1530	SB1316	62602628	62602847	219	2	62.6026			
1531	SB1318	62730816	62731115	299	2	62.7308			
1532	SB1319	62764279	62764576	297	2	62.7643			
1533	SB1320	62841106	62841230	124	2	62.8411			
1534	SB1322	62910313	62910459	146	2	62.9103			
1535	SB1323	62990014	62990195	181	2	62.9900			
1536	SB1324	62990928	62991110	182	2	62.9909			
1537	SB1325	63019634	63019927	293	2	63.0196			
1538	SB1326	63023878	63024136	258	2	63.0239			
1539	SB1327	63083308	63083504	196	2	63.0833			
1540	Xisep0941	63117140	63117328	188	2	63.1171			
1541	SB1328	63129719	63129960	241	2	63.1297			
1542	SB1329	63130172	63130376	204	2	63.1302		Overlap with Xiabtp231	
1543	Xiabtp231	63130201	63130360	159	2	63.1302		Overlap with SB1329	
1544	SB1330	63164990	63165229	239	2	63.1650			
1545	SB1331	63199892	63200061	169	2	63.1999			
1546	SB1333	63245413	63245694	281	2	63.2454			
1547	SB1334	63288276	63288451	175	2	63.2883			
1548	SB1337	63320027	63320283	256	2	63.3200			
1549	SB1338	63375408	63375626	218	2	63.3754			
1550	SB1339	63395236	63395488	252	2	63.3952			
1551	Xisep0938	63436814	63437019	205	2	63.4368			
1552	Xiabtp226	63487849	63488132	283	2	63.4878	2 SSRs including that detected by SB1341	Overlap with SB1341	
1553	SB1341	63487907	63488104	197	2	63.4879	SSR segment included in Xiabtp226	Overlap with Xiabtp226	
1554	SB1342	63499532	63499634	102	2	63.4995			
1555	SB1343	63556123	63556419	296	2	63.5561			
1556	SB1344	63559057	63559339	282	2	63.5591			
1557	SB1345	63559935	63560189	254	2	63.5599			
1558	SB1346	63596021	63596220	199	2	63.5960			
1559	SB1347	63599605	63599851	246	2	63.5996			
1560	Xcup41	63619989	63620220	231	2	63.6200			
1561	SB1348	63852218	63852509	291	2	63.8522			
1562	SB1349	63929923	63930065	142	2	63.9299			
1563	SB1350	63940281	63940580	299	2	63.9403			
1564	SB1351	63996882	63997106	224	2	63.9969			
1565	SB1352	64130267	64130528	261	2	64.1303			
1566	SB1353	64142326	64142499	173	2	64.1423			
1567	SB1354	64144978	64145219	241	2	64.1450			
1568	SB1355	64161907	64162099	192	2	64.1619			
1569	Xisep0920	64215210	64215504	294	2	64.2152			
1570	SB1356	64227069	64227277	208	2	64.2271			
1571	SB1357	64241357	64241502	145	2	64.2414			
1572	SB1359	64277389	64277623	234	2	64.2774			
1573	SB1360	64301897	64302178	281	2	64.3019			
1574	SB1362	64421029	64421228	199	2	64.4210			
1575	SB1363	64429234	64429464	230	2	64.4292			
1576	SB1364	64430266	64430537	271	2	64.4303			
1577	SB1365	64442338	64442491	153	2	64.4423			
1578	>SbMADS1	64442887	64443116	229	2	64.4429			
1579	>OsMADS24	64442963	64443110	147	2	64.4430			
1580	SB1366	64484700	64484968	268	2	64.4847			
1581	SB1367	64554875	64555165	290	2	64.5549			
1582	SB1368	64566611	64566736	125	2	64.5666			
1583	SB1369	64630005	64630190	185	2	64.6300			
1584	SB1370	64687803	64688099	296	2	64.6878			
1585	>ZCN18	64815700	64817334	1634	2	64.8157			
1586	>ZCN24	64816175	64816835	660	2	64.8162			
1587	SB1372	64893383	64893665	282	2	64.8934			
1588	SB1373	64897411	64897614	203	2	64.8974			
1589	SB1374	64906573	64906744	171	2	64.9066		Overlap with Xisep0849	
1590	Xisep0849	64906603	64906745	142	2	64.9066		Overlap with SB1374	
1591	SB1375	65124863	65125116	253	2	65.1249			
1592	Xisep0944	65300764	65300936	172	2	65.3008			
1593	SB1376	65309180	65309407	227	2	65.3092			
1594	SB1377	65390144	65390343	199	2	65.3901			
1595	SB1378	65414743	65414922	179	2	65.4147			
1596	SB1379	65417063	65417297	234	2	65.4171			
1597	SB1380	65458579	65458696	117	2	65.4586			
1598	Xisep0939	65477987	65478185	198	2	65.4780	2 SSRs including that detected by Xisep1022	Overlap with Xisep1022	
1599	Xisep1022	65478064	65478192	128	2	65.4781	SSR segment included in Xisep0939	Overlap with Xisep0939	
1600	SB1381	65510946	65511196	250	2	65.5109			
1601	SB1382	65526773	65526957	184	2	65.5268			
1602	SB1383	65612975	65613151	176	2	65.6130			
1603	SB1384	65650226	65650505	279	2	65.6502			
1604	SB1385	65707933	65708206	273	2	65.7079			
1605	SB1386	65757898	65758152	254	2	65.7579			
1606	SB1387	65769455	65769651	196	2	65.7695			
1607	SB1388	65795063	65795358	295	2	65.7951			
1608	SB1389	65800734	65801031	297	2	65.8007			
1609	SB1390	65802044	65802160	116	2	65.8020			
1610	SB1391	65804617	65804835	218	2	65.8046			
1611	SB1392	65806848	65807111	263	2	65.8068			
1612	Xisep0942	65833243	65833463	220	2	65.8332			
1613	SB1393	65892800	65893044	244	2	65.8928			
1614	Xisep0910	65948160	65948354	194	2	65.9482			
1615	SB1395	66042618	66042837	219	2	66.0426			
1616	SB1397	66167209	66167385	176	2	66.1672			
1617	SB1398	66167963	66168166	203	2	66.1680			
1618	Xgpsb128	66168784	66169069	285	2	66.1688			
1619	SB1399	66170932	66171181	249	2	66.1709			
1620	SB1400	66184075	66184290	215	2	66.1841			
1621	SB1401	66186148	66186409	261	2	66.1861			
1622	SB1402	66201089	66201338	249	2	66.2011			
1623	SB1403	66281851	66282007	156	2	66.2819			
1624	SB1404	66367004	66367212	208	2	66.3670			
1625	SB1405	66433388	66433600	212	2	66.4334			
1626	SB1406	66517325	66517484	159	2	66.5173			
1627	SB1407	66708474	66708750	276	2	66.7085			
1628	SB1408	66781610	66781861	251	2	66.7816			
1629	SB1411	67029601	67029880	279	2	67.0296			
1630	SB1412	67094809	67094930	121	2	67.0948			
1631	SB1413	67116474	67116741	267	2	67.1165			
1632	>ZmPSY3	67117359	67117604	245	2	67.1174			
1633	>ZmPSY3	67117366	67117775	409	2	67.1174			
1634	>OsPSY3	67117366	67117775	409	2	67.1174			
1635	>SbPSY3	67119001	67119478	477	2	67.1190			
1636	SB1414	67130939	67131218	279	2	67.1309			
1637	SB1415	67148448	67148689	241	2	67.1484			
1638	SB1417	67153753	67154020	267	2	67.1538			
1639	XmSbCIR187	67190624	67190784	160	2	67.1906			
1640	SB1418	67194551	67194748	197	2	67.1946			
1641	SB1419	67331578	67331875	297	2	67.3316			
1642	SB1420	67365694	67365922	228	2	67.3657			
1643	SB1421	67370248	67370506	258	2	67.3702			
1644	Xisep0935	67411116	67411314	198	2	67.4111			
1645	SB1422	67469662	67469936	274	2	67.4697			
1646	SB1425	67710182	67710343	161	2	67.7102			
1647	SB1426	67722753	67723016	263	2	67.7228			
1648	SB1427	67776539	67776676	137	2	67.7765			
1649	SB1428	67804079	67804313	234	2	67.8041			
1650	SB1430	68101030	68101315	285	2	68.1010			
1651	Xiabtp323	68224180	68224371	191	2	68.2242			
1652	SB1431	68269357	68269656	299	2	68.2694			
1653	SB1432	68336951	68337108	157	2	68.3370			
1654	SB1433	68393089	68393360	271	2	68.3931		Overlap with Xtxp428	
1655	Xtxp428	68393144	68393357	213	2	68.3931		Overlap with SB1433	
1656	Xisep0718	68676817	68676986	169	2	68.6768			
1657	Xiabtp397	68690116	68690304	188	2	68.6901			
1658	SB1435	68737557	68737796	239	2	68.7376			
1659	SB1436	68782714	68783013	299	2	68.7827			
1660	SB1437	68821201	68821315	114	2	68.8212			
1661	SB1438	68844865	68845098	233	2	68.8449			
1662	SB1439	68853328	68853544	216	2	68.8533			
1663	Xtxp429	68854038	68854252	214	2	68.8540			
1664	SB1441	68983027	68983313	286	2	68.9830			
1665	SB1442	69237515	69237727	212	2	69.2375			
1666	Xisep0729	69534956	69535199	243	2	69.5350			
1667	SB1444	69614750	69614951	201	2	69.6148			
1668	SB1445	69639588	69639879	291	2	69.6396	2 SSRs including that detected by Xtxp100(Kaf)	Overlap with Xtxp100(Kaf)	
1669	Xtxp100(Kaf)	69639640	69639756	116	2	69.6396	SSR segment included in SB1445	Overlap with SB1445	
1670	SB1446	69690621	69690899	278	2	69.6906			
1671	SB1448	69859840	69860132	292	2	69.8598			
1672	SB1449	70043602	70043898	296	2	70.0436			
1673	SB1450	70055912	70056185	273	2	70.0559			
1674	SB1451	70068448	70068661	213	2	70.0684			
1675	SB1452	70087273	70087406	133	2	70.0873			
1676	Xisep0736	70090455	70090646	191	2	70.0905			
1677	SB1453	70093154	70093339	185	2	70.0932			
1678	SB1454	70228259	70228488	229	2	70.2283			
1679	SB1455	70240067	70240297	230	2	70.2401			
1680	Xtxp207	70255870	70256054	184	2	70.2559		Overlap with Xtxp007	
1681	Xtxp007	70255872	70256102	230	2	70.2559		Overlap with Xtxp207	
1682	Xcup26	70258460	70258680	220	2	70.2585			
1683	SB1456	70395879	70396104	225	2	70.3959			
1684	SB1459	70668173	70668350	177	2	70.6682			
1685	SB1460	70669603	70669900	297	2	70.6696			
1686	Xisep0732	70688704	70688903	199	2	70.6887			
1687	Xisep0733	70749042	70749372	330	2	70.7490			
1688	SB1461	70791143	70791420	277	2	70.7911			
1689	SB1462	70848268	70848530	262	2	70.8483			
1690	SB1463	70861518	70861768	250	2	70.8615			
1691	Xisep0841	70890176	70890391	215	2	70.8902		Overlap with Xiabtp190	Same as Xiabtp190
1692	Xiabtp190	70890176	70890391	215	2	70.8902		Overlap with Xisep0841	Same as Xisep0841
1693	SB1465	70905330	70905503	173	2	70.9053			
1694	Xisep0717	70959025	70959224	199	2	70.9590			
1695	SB1466	70979617	70979895	278	2	70.9796			
1696	SB1467	71006627	71006773	146	2	71.0066			
1697	SB1468	71017612	71017840	228	2	71.0176			
1698	Xiabtp388	71026433	71026562	129	2	71.0264			
1699	XmSbCIR218	71035377	71035540	163	2	71.0354			
1700	SB1469	71036016	71036161	145	2	71.0360			
1701	SB1470	71053995	71054113	118	2	71.0540			
1702	SB1472	71095459	71095723	264	2	71.0955			
1703	SB1473	71101978	71102271	293	2	71.1020			
1704	Xtxp296	71113137	71113305	168	2	71.1131			
1705	SB1474	71314485	71314641	156	2	71.3145			
1706	SB1475	71432785	71433036	251	2	71.4328			
1707	SB1476	71468249	71468541	292	2	71.4682			
1708	Xiabtp484	71604103	71604220	117	2	71.6041			
1709	Xisep0740	71662559	71662758	199	2	71.6626		Overlap with Xisep0741	
1710	Xisep0741	71662601	71662792	191	2	71.6626		Overlap with Xisep0740	
1711	SB1477	71713698	71713959	261	2	71.7137			
1712	SB1478	71776050	71776314	264	2	71.7761			
1713	SB1479	71792937	71793120	183	2	71.7929	2 SSRs including that detected by BI139914	Overlap with Xiabtp205 and Bl139914	
1714	Xiabtp205	71792948	71793113	165	2	71.7929	2 SSRs including that detected by BI139914	Overlap with SB1479 and Bl139914	
1715	BI139914	71793010	71793112	102	2	71.7930	SSR segment included in SB1479 and Xiabtp205	Overlap with SB1479 and Xiabtp205	
1716	SB1480	71846317	71846561	244	2	71.8463			
1717	SB1482	71988492	71988671	179	2	71.9885			
1718	SB1483	72128604	72128830	226	2	72.1286			
1719	SB1484	72135681	72135947	266	2	72.1357			
1720	SB1485	72144285	72144491	206	2	72.1443			
1721	SB1486	72165831	72166119	288	2	72.1658			
1722	SB1487	72169419	72169716	297	2	72.1694		Overlap with Xiabtp76	
1723	Xiabtp076	72169545	72169837	292	2	72.1695		Overlap with SB1487	
1724	SB1488	72178487	72178681	194	2	72.1785			
1725	SB1489	72238953	72239135	182	2	72.2390			
1726	SB1490	72302080	72302268	188	2	72.3021			
1727	SB1491	72303867	72304074	207	2	72.3039			
1728	Xiabtp317	72334157	72334393	236	2	72.3342			
1729	SB1492	72359368	72359627	259	2	72.3594			
1730	SB1493	72360272	72360451	179	2	72.3603			
1731	SB1494	72428713	72428948	235	2	72.4287			
1732	>TaPinB-D1ab	72611860	72611878	18	2	72.6119			
1733	SB1495	72672566	72672746	180	2	72.6726			
1734	SB1496	72673279	72673501	222	2	72.6733			
1735	SB1497	72794042	72794257	215	2	72.7940			
1736	SB1498	72878377	72878571	194	2	72.8784			
1737	SB1499	72881899	72882119	220	2	72.8819			
1738	SB1500	72940197	72940485	288	2	72.9402			
1739	Xisep0722	73057159	73057391	232	2	73.0572			
1740	SB1502	73097374	73097657	283	2	73.0974			
1741	SB1503	73132343	73132631	288	2	73.1323			
1742	SB1504	73167624	73167776	152	2	73.1676			
1743	SB1505	73233470	73233692	222	2	73.2335			
1744	SB1506	73301580	73301797	217	2	73.3016			
1745	SB1508	73534549	73534731	182	2	73.5345			
1746	SB1510	73637604	73637883	279	2	73.6376			
1747	SB1511	73652812	73653084	272	2	73.6528			
1748	SB1512	73792680	73792972	292	2	73.7927			
1749	SB1515	73825601	73825845	244	2	73.8256			
1750	SB1516	73866881	73867178	297	2	73.8669			
1751	SB1517	73872895	73873191	296	2	73.8729			
1752	SB1518	73956745	73957001	256	2	73.9567			
1753	SB1519	73961661	73961941	280	2	73.9617			
1754	SB1520	73973438	73973619	181	2	73.9734			
1755	SB1521	74034879	74035142	263	2	74.0349			
1756	SB1522	74086768	74086957	189	2	74.0868			
1757	SB1523	74137868	74138044	176	2	74.1379			
1758	SB1524	74193489	74193653	164	2	74.1935			
1759	SB1525	74211099	74211371	272	2	74.2111			
1760	SB1526	74250299	74250504	205	2	74.2503			
1761	SB1527	74367586	74367885	299	2	74.3676			
1762	SB1528	74371036	74371310	274	2	74.3710			
1763	SB1529	74413849	74414135	286	2	74.4138			
1764	SB1530	74420922	74421211	289	2	74.4209			
1765	Xisep1246	74421958	74422228	270	2	74.4220			
1766	SB1531	74447899	74448046	147	2	74.4479			
1767	SB1532	74461723	74461984	261	2	74.4617			
1768	Xgpsb118	74481518	74481644	126	2	74.4815			
1769	SB1533	74507663	74507831	168	2	74.5077		Overlap with Xgpsb014	
1770	Xgpsb014	74507744	74508006	262	2	74.5077		Overlap with SB1533	
1771	SB1534	74525736	74526022	286	2	74.5257			
1772	SB1535	74530567	74530857	290	2	74.5306			
1773	SB1536	74647873	74648031	158	2	74.6479			
1774	SB1537	74688514	74688771	257	2	74.6885			
1775	SB1538	74693447	74693671	224	2	74.6934			
1776	SB1539	74696129	74696286	157	2	74.6961			
1777	SB1540	74697549	74697835	286	2	74.6975			
1778	SB1541	74712987	74713260	273	2	74.7130			
1779	Xisep0742	74768554	74768757	203	2	74.7686			
1780	SB1542	74770196	74770462	266	2	74.7702			
1781	SB1543	74775817	74776041	224	2	74.7758			
1782	SB1544	74842917	74843083	166	2	74.8429			
1783	SB1545	74927138	74927415	277	2	74.9271			
1784	Xisep0743	74944792	74944979	187	2	74.9448			
1785	SB1546	75052858	75053157	299	2	75.0529			
1786	SB1547	75131562	75131801	239	2	75.1316			
1787	SB1548	75133146	75133325	179	2	75.1331			
1788	SB1549	75185597	75185804	207	2	75.1856			
1789	SB1550	75257092	75257315	223	2	75.2571			
1790	SB1551	75258061	75258270	209	2	75.2581			
1791	Xcup40	75363307	75363500	193	2	75.3633			
1792	SB1552	75375903	75376146	243	2	75.3759			
1793	SB1553	75407095	75407338	243	2	75.4071			
1794	SB1554	75570052	75570227	175	2	75.5701			
1795	SB1555	75610263	75610526	263	2	75.6103			
1796	SB1556	75627287	75627579	292	2	75.6273			
1797	SRSC12_016	75670269	75670961	692	2	75.6703			
1798	SB1557	75672017	75672301	284	2	75.6720			
1799	Xisep0324	75702576	75702772	196	2	75.7026			
1800	SB1558	75759469	75759739	270	2	75.7595			
1801	SB1559	75846490	75846692	202	2	75.8465			
1802	SB1560	75872359	75872657	298	2	75.8724			
1803	SB1561	75882097	75882389	292	2	75.8821			
1804	SB1562	75983808	75983991	183	2	75.9838			
1805	SB1563	76004669	76004831	162	2	76.0047			
1806	SB1564	76104250	76104473	223	2	76.1043			
1807	SB1565	76105798	76105972	174	2	76.1058			
1808	SB1566	76145211	76145460	249	2	76.1452			
1809	SB1567	76146517	76146766	249	2	76.1465			
1810	SB1568	76188917	76189200	283	2	76.1889			
1811	SB1569	76220497	76220724	227	2	76.2205			
1812	SB1571	76267659	76267906	247	2	76.2677			
1813	SB1572	76450688	76450976	288	2	76.4507			
1814	SB1574	76604098	76604342	244	2	76.6041			
1815	SB1575	76621368	76621579	211	2	76.6214			
1816	Xisep0746	76629606	76629777	171	2	76.6296			
1817	SB1576	76654226	76654476	250	2	76.6542			
1818	SB1578	76814267	76814394	127	2	76.8143			
1819	SB1579	76828580	76828753	173	2	76.8286			
1820	SB1580	76842509	76842768	259	2	76.8425			
1821	SB1581	76886873	76887053	180	2	76.8869			
1822	SB1582	76890396	76890640	244	2	76.8904			
1823	SB1583	76895460	76895576	116	2	76.8955			
1824	SB1584	76913602	76913784	182	2	76.9136			
1825	SB1585	76928668	76928893	225	2	76.9287			
1826	SB1586	76932164	76932443	279	2	76.9322			
1827	SB1587	76935648	76935789	141	2	76.9356			
1828	SB1588	76940488	76940727	239	2	76.9405			
1829	SB1589	76941998	76942270	272	2	76.9420			
1830	SB1591	76957801	76958050	249	2	76.9578			
1831	SB1592	76992594	76992844	250	2	76.9926			
1832	SB1593	76998781	76998967	186	2	76.9988			
1833	SB1595	77018510	77018631	121	2	77.0185			
1834	Xcup69	77018851	77019103	252	2	77.0189			
1835	SB1596	77025771	77025896	125	2	77.0258			
1836	SB1597	77066073	77066337	264	2	77.0661			
1837	Xisep0734	77089121	77089316	195	2	77.0891			
1838	SB1599	77103458	77103735	277	2	77.1035			
1839	SB1600	77115092	77115349	257	2	77.1151			
1840	SB1601	77146927	77147158	231	2	77.1469			
1841	SB1602	77184313	77184575	262	2	77.1843			
1842	SB1603	77243383	77243677	294	2	77.2434			
1843	SB1604	77267028	77267276	248	2	77.2670			
1844	SB1605	77274710	77274914	204	2	77.2747			
1845	SB1606	77298866	77299137	271	2	77.2989			
1846	SB1607	77339031	77339204	173	2	77.3390			
1847	SB1608	77365197	77365435	238	2	77.3652			
1848	SB1609	77385178	77385441	263	2	77.3852			
1849	SB1610	77390011	77390247	236	2	77.3900			
1850	SB1611	77394719	77394909	190	2	77.3947			
1851	Xiabtp163	77526359	77526507	148	2	77.5264			
1852	SB1613	77600118	77600375	257	2	77.6001			
1853	Xisep0310	77623085	77623288	203	2	77.6231			
1854	SB1614	77676023	77676176	153	2	77.6760			
1855	SB1615	77735110	77735341	231	2	77.7351			
1856	Xisep0522	77751305	77751636	331	2	77.7513		Overlap with SB1616	
1857	SB1616	77751306	77751579	273	2	77.7513		Overlap with Xisep0522	
1858	SB1617	77753637	77753822	185	2	77.7536			
1859	Xiabtp065	77775960	77776046	86	2	77.7760			
1860	SB1619	77777113	77777344	231	2	77.7771			
1861	SB1620	77779899	77780115	216	2	77.7799			
1862	SB1621	77874955	77875198	243	2	77.8750			
1863	SB1622	32472	32584	112	3	0.0325			
1864	SB1624	66874	67093	219	3	0.0669			
1865	SB1625	109795	110020	225	3	0.1098			
1866	Xisep0106	116922	117122	200	3	0.1169			
1867	SB1626	124881	125123	242	3	0.1249			
1868	SB1627	165031	165256	225	3	0.1650		Overlap with Xtxp456	
1869	Xtxp456	165056	165252	196	3	0.1651		Overlap with SB1627	
1870	SB1628	166377	166616	239	3	0.1664			
1871	SB1629	188202	188310	108	3	0.1882			
1872	SB1631	268303	268459	156	3	0.2683			
1873	SB1632	292087	292224	137	3	0.2921			
1874	SB1633	292639	292936	297	3	0.2926			
1875	SB1634	348080	348280	200	3	0.3481			
1876	SB1635	383481	383776	295	3	0.3835			
1877	SB1636	397395	397528	133	3	0.3974			
1878	Xtxp496	403552	403621	69	3	0.4036			
1879	SB1637	417980	418243	263	3	0.4180			
1880	Xisep0104	421035	421231	196	3	0.4210			
1881	SB1638	460629	460921	292	3	0.4606			
1882	SB1639	512844	512999	155	3	0.5128			
1883	SB1640	522015	522249	234	3	0.5220			
1884	SB1641	525874	526145	271	3	0.5259			
1885	SB1644	600580	600865	285	3	0.6006			
1886	SB1645	616121	616345	224	3	0.6161			
1887	SB1648	721284	721553	269	3	0.7213			
1888	PRSC1_014	768597	769538	941	3	0.7686			
1889	SB1649	776516	776658	142	3	0.7765	SSR segment included in Xtxp478	Overlap with Xtxp478	Similar to Xtxp478
1890	Xtxp478	776516	776732	216	3	0.7765	2 SSRs including that detected by SB1649	Overlap with SB1649	Similar to SB1649
1891	SB1650	783942	784147	205	3	0.7839			
1892	SB1651	794274	794445	171	3	0.7943			
1893	SB1653	889600	889757	157	3	0.8896			
1894	SB1655	985520	985630	110	3	0.9855			
1895	SB1656	985740	986001	261	3	0.9857			
1896	SB1657	1000524	1000656	132	3	1.0005			
1897	SB1658	1069346	1069571	225	3	1.0693			
1898	SB1659	1080938	1081092	154	3	1.0809		Overlap with Xtxp495	
1899	Xtxp495	1080943	1081113	170	3	1.0809		Overlap with SB1659	
1900	SB1660	1134885	1135076	191	3	1.1349			
1901	SB1661	1168344	1168639	295	3	1.1683			
1902	Xiabtp030	1183666	1183899	233	3	1.1837		Overlap with SB1662	
1903	SB1662	1183858	1183985	127	3	1.1839		Overlap with Xiabtp30	
1904	SB1663	1226749	1226970	221	3	1.2267			
1905	Xiabtp357	1277141	1277387	246	3	1.2771			
1906	SB1664	1334788	1335002	214	3	1.3348			
1907	Xiabtp113	1335405	1335673	268	3	1.3354			
1908	Xisep0110	1465911	1466201	290	3	1.4659			
1909	SB1666	1480463	1480606	143	3	1.4805			
1910	SB1667	1481965	1482214	249	3	1.4820			
1911	SB1668	1482847	1482983	136	3	1.4828			
1912	SB1669	1484600	1484776	176	3	1.4846			
1913	>ZCN14	1508093	1508790	697	3	1.5081			
1914	SB1670	1513583	1513840	257	3	1.5136			
1915	SB1671	1558205	1558386	181	3	1.5582			
1916	SB1673	1625279	1625430	151	3	1.6253			
1917	SB1674	1629269	1629521	252	3	1.6293			
1918	Xisep0126	1633101	1633299	198	3	1.6331			
1919	SB1675	1633442	1633711	269	3	1.6334			
1920	SB1677	1687706	1687982	276	3	1.6877			
1921	SRSC1_002	1698707	1699140	433	3	1.6987			
1922	SB1678	1705654	1705885	231	3	1.7057			
1923	SB1679	1731124	1731317	193	3	1.7311		Overlap with Xtxp494 and Xiabtp077	
1924	Xtxp494	1731129	1731342	213	3	1.7311		Overlap with SB1679 and Xiabtp077	Same as Xiabtp077
1925	Xiabtp077	1731129	1731342	213	3	1.7311		Overlap with SB1679 and Xtxp494	Same as Xtxp494
1926	SB1681	1771163	1771410	247	3	1.7712			
1927	SB1682	1817183	1817427	244	3	1.8172			
1928	SB1683	1831971	1832086	115	3	1.8320			
1929	SB1684	1907092	1907321	229	3	1.9071			
1930	Xiabtp028	1914402	1914478	76	3	1.9144	SSR segment included in Xtxp457	Overlap with Xtxp457	
1931	Xtxp457	1914402	1914611	209	3	1.9144	2 SSRs including that detected by Xiabtp028	Overlap with Xiabtp028	
1932	Xcup11	1992880	1993044	164	3	1.9929			
1933	SB1685	2001494	2001771	277	3	2.0015			
1934	PRSC1_004	2147609	2147884	275	3	2.1476			
1935	SB1686	2209949	2210235	286	3	2.2099			
1936	SB1688	2216963	2217087	124	3	2.2170			
1937	SB1689	2247243	2247485	242	3	2.2472			
1938	SB1690	2261153	2261352	199	3	2.2612			
1939	SB1691	2266257	2266556	299	3	2.2663			
1940	>ZCN23	2274506	2274780	274	3	2.2745			
1941	SB1692	2296967	2297247	280	3	2.2970			
1942	SB1693	2404593	2404798	205	3	2.4046			
1943	SB1694	2407889	2408053	164	3	2.4079			
1944	SB1695	2523417	2523615	198	3	2.5234			
1945	Xtxp228	2526858	2527103	245	3	2.5269		Overlap with SB1696	
1946	SB1696	2526915	2527188	273	3	2.5269		Overlap with Xtxp228	
1947	SB1697	2532293	2532562	269	3	2.5323			
1948	Xtxp116	2534185	2534331	146	3	2.5342	SSR segment included in SB1698	Overlap with SB1698	
1949	SB1698	2534209	2534435	226	3	2.5342	2 SSRs including that detected by Xtxp116	Overlap with Xtxp116	
1950	SB1699	2537655	2537867	212	3	2.5377			
1951	SB1700	2538907	2539121	214	3	2.5389			
1952	Xcup61	2576698	2576895	197	3	2.5767			
1953	SB1701	2608296	2608507	211	3	2.6083			
1954	Xtxp518	2655308	2655508	200	3	2.6553			
1955	SB1702	2721988	2722096	108	3	2.7220			
1956	Xtxp266	2783077	2783273	196	3	2.7831			
1957	SB1703	2850152	2850329	177	3	2.8502			
1958	Xisep0119	2938403	2938606	203	3	2.9384			
1959	SB1705	2946353	2946626	273	3	2.9464			
1960	SB1706	2959567	2959677	110	3	2.9596			
1961	SB1707	2987413	2987686	273	3	2.9874			
1962	SB1708	2990885	2991149	264	3	2.9909			
1963	SB1709	3072098	3072363	265	3	3.0721			
1964	SB1710	3093605	3093854	249	3	3.0936			
1965	SB1711	3118501	3118790	289	3	3.1185			
1966	Xisep0526	3147887	3148077	190	3	3.1479			
1967	SB1712	3167358	3167639	281	3	3.1674			
1968	SB1713	3191285	3191572	287	3	3.1913			
1969	Xisep0107	3209015	3209213	198	3	3.2090			
1970	SB1714	3222236	3222440	204	3	3.2222			
1971	SB1715	3241026	3241283	257	3	3.2410			
1972	SB1716	3264493	3264612	119	3	3.2645			
1973	SB1717	3268875	3269160	285	3	3.2689			
1974	SB1718	3323940	3324211	271	3	3.3239			
1975	SB1719	3372404	3372673	269	3	3.3724			
1976	SB1720	3374283	3374460	177	3	3.3743			
1977	Xiabtp446	3374349	3374719	370	3	3.3743			
1978	>Sb_malic	3379201	3379494	293	3	3.3792			
1979	SB1721	3472997	3473276	279	3	3.4730			
1980	SB1722	3513715	3513865	150	3	3.5137			
1981	SRSC1_004	3519570	3519819	249	3	3.5196			
1982	SB1723	3581981	3582172	191	3	3.5820			
1983	SB1724	3585845	3586135	290	3	3.5858			
1984	SB1725	3604313	3604582	269	3	3.6043	2 SSRs including that detected by Xtxp492/Xiabtp338/Xiabtp519	Overlap with Xtxp492, Xiabtp338 and Xiabtp519	
1985	Xtxp492	3604320	3604510	190	3	3.6043	SSR segment included in SB1725	Overlap with SB1725, Xiabtp338 and Xiabtp519	Same as Xiabtp338 and Xiabtp519
1986	Xiabtp338	3604320	3604510	190	3	3.6043	SSR segment included in SB1725	Overlap with SB1725, Xiabtp519, and Xtxp492	Same as Xtxp492 and Xiabtp519
1987	Xiabtp519	3604320	3604510	190	3	3.6043	SSR segment included in SB1725	Overlap with SB1725, Xiabtp338, and Xtxp492	Same as Xtxp492 and Xiabtp338
1988	SB1726	3682618	3682762	144	3	3.6826			
1989	SB1727	3712232	3712452	220	3	3.7122			
1990	>SbtRNA_Glygene	3831592	3831751	159	3	3.8316			
1991	SB1728	3850084	3850307	223	3	3.8501			
1992	SB1729	3854720	3854988	268	3	3.8547			
